zone_id,general_standards_url,additional_standards_url,garden_standards_url,frontage_and_facades_standards_url
e50bd21a-bde5-40cd-8333-bc07229adbb9,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
2794e227-3e5b-4861-87b2-18df09e9b1ec,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
f966a8db-43ca-4f4a-aa0d-158fcb09f9e6,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
c54381fa-e5a6-4617-a24b-59c0058d8b53,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
2a0eeb5a-e2e6-4cb6-bddf-dede43a2f46f,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
1329d587-53af-4703-a1bf-4f9aba1eecff,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
b8c04d69-e2fe-45f1-89d0-4da23085e026,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.040RSRMREDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.050RSRMDIADDEST,,
b9d6827c-bbca-4647-a388-aa7ca67b58a4,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.060RMDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.070RMDIADDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.080RMDIGARE,
392a10dc-5e40-422b-b927-d07ae4c096d1,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.060RMDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.070RMDIADDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.080RMDIGARE,
a4e24b47-b46a-42bf-ba5a-7e662724f5ce,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.060RMDIGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.070RMDIADDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.22REZODI_17.22.080RMDIGARE,
e3bafa0c-2564-4d52-bdbf-b1cc1b9d1b0c,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.040COINDIGEDEST,,,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.050COFRFAST
0777da38-f15a-41ac-b312-3d2d4c94b264,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.040COINDIGEDEST,,,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.050COFRFAST
5bd76ad7-e49d-47b3-8c16-ef81a55144c9,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.040COINDIGEDEST,,,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.050COFRFAST
0f13f6d9-ab0a-4032-b05f-9ddc7341ea72,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.040COINDIGEDEST,,,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.050COFRFAST
8048a91e-5429-4983-a18a-0101e9fb843d,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.040COINDIGEDEST,,,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.24COINZODI_17.24.050COFRFAST
04dd14be-aa94-4f0b-b021-6513606af433,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.26SPPUZODI_17.26.040SPPUDIGEDEST,,,
dd874b41-1d8c-43a2-abe4-b48906915998,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.26SPPUZODI_17.26.040SPPUDIGEDEST,,,
64878a13-c296-4f13-84d2-a5d67b347067,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.26SPPUZODI_17.26.040SPPUDIGEDEST,,,
81beae23-1a36-49e9-80d5-d66f7caf3f00,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.29HIOVDI_17.29.050DEST,,,
e22dd9e2-a388-41b1-8663-1b37c8d2a28d,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.29HIOVDI_17.29.050DEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.29HIOVDI_17.29.090UPHARAARST,,
c5c6d9c2-9e68-43bd-8acd-4d35f87b97c0,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.29HIOVDI_17.29.050DEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART2ZODIALLAUSZOECST_CH17.29HIOVDI_17.29.100SARAARST,,
d081acd6-b4d8-4ad9-829b-4890de603bfc,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.040CDGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.050CDEXGEDEST,,
72d611e7-ddf5-40ab-ac56-e4b710ae4eab,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.040CDGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.050CDEXGEDEST,,
0622ddfc-7c03-47a8-bf41-484a910a011f,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.040CDGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.050CDEXGEDEST,,
2b1645a4-f97d-4f0e-aedb-bc675970c7c8,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.040CDGEDEST,https://library.municode.com/ca/pasadena/codes/code_of_ordinances?nodeId=TIT17_ZONING_CODE_ART3SPPLST_CH17.30CEDISPPL_17.30.050CDEXGEDEST,,
